date,population
07/1957,14264000
07/1958,14880000
07/1959,15467000
07/1960,15870000
07/1961,16497000
07/1962,17072000
07/1963,17668000
07/1964,18151000
07/1965,18585000
07/1966,18858000
07/1967,19176000
07/1968,19394000
07/1969,19711000
07/1970,19971100
07/1971,20345900
07/1972,20585500
07/1973,20868700
07/1974,21173900
07/1975,21537800
07/1976,21935900
07/1977,22352400
07/1978,22836000
07/1979,23256900
07/1980,23667800
07/1981,24285900
07/1982,24820000
07/1983,25360000
07/1984,25844400
07/1985,26441100
07/1986,27102200
07/1987,27777200
07/1988,28464300
07/1989,29218200
07/1990,29959500
07/1991,30470700
07/1992,30974700
07/1993,31274900
07/1994,31484400
07/1995,31696600
07/1996,32018800
07/1997,32486000
07/1998,32987700
07/1999,33499200
07/2000,33988000
07/2001,34479500
07/2002,34871800
07/2003,35253200
07/2004,35574600
07/2005,35827900
07/2006,36021200
07/2007,36250300
07/2008,36604300
07/2009,36961200
07/2010,37349400
07/2011,37691900
07/2012,38041400
